Country,Value_2025,Value_2023,Value_2013,Value_2012
Argentina,2,2,1,1
Australia,3,3,3,2
Austria,4,4,2,2
Belarus,1,1,1,1
Belgium,2,2,1,1
Bosnia and Herzegovina,3,3,2,2
Brazil,5,5,3,3
Bulgaria,2,2,2,2
Canada,3,3,3,1
Chile,1,1,1,1
China,7,4,3,3
Costa Rica,1,1,1,1
Croatia,2,2,2,2
Cuba,3,3,3,3
Cyprus,1,1,1,1
Czech Republic,1,1,1,1
Denmark,1,1,1,1
Ecuador,1,1,0,0
Egypt,2,2,1,1
Estonia,1,1,1,1
Ethiopia,1,1,1,1
Finland,1,1,1,1
France,5,5,5,2
Germany,4,4,2,2
Greece,6,6,4,2
Hungary,3,3,2,2
Iceland,1,1,1,1
India,3,3,3,3
Indonesia,1,1,1,1
"Iran, Islamic Republic of",4,4,1,1
Iraq,1,1,1,1
Ireland,1,1,1,1
Israel,2,2,1,1
Italy,7,8,8,7
Jamaica,1,1,1,1
Japan,3,5,1,1
Jordan,1,1,1,1
Kazakhstan,1,1,1,1
Kenya,1,1,1,1
"Korea, Republic of ",4,2,2,2
Kuwait,1,1,1,1
Latvia,1,1,1,1
Lebanon,1,1,1,1
Lithuania,2,3,3,3
Luxembourg,1,1,1,1
Madagascar,1,1,1,1
Malaysia,1,1,1,1
Mexico,3,3,3,3
Mongolia,1,1,1,0
Montenegro,1,1,1,1
Morocco,1,1,1,1
Myanmar,1,1,1,1
Netherlands,4,4,2,2
New Zealand,1,1,1,1
Nigeria,1,1,0,0
North Macedonia,1,1,0,0
Norway,2,2,2,2
Pakistan,1,1,1,1
Panama,1,1,1,1
Peru,1,1,1,1
Philippines,1,1,1,1
Poland,6,6,3,3
Portugal,1,1,1,1
Qatar,1,1,1,1
Romania,4,4,3,3
Russian Federation,6,4,2,2
Saudi Arabia,2,2,1,1
Serbia,5,5,3,1
Singapore,4,4,0,0
Slovakia,2,3,3,3
Slovenia,1,1,1,1
South Africa,3,3,2,2
Spain,2,2,2,2
Sri Lanka,1,1,1,0
Sweden,3,3,2,1
Switzerland,3,3,2,2
Syrian Arab Republic,1,1,1,1
Tajikistan,1,1,0,0
Thailand,2,2,2,2
Tunisia,1,1,1,1
Türkiye,2,2,2,1
Ukraine,1,1,1,1
United Arab Emirates,4,4,1,1
United Kingdom,4,6,5,5
United States of America,7,7,6,6
Uruguay,1,1,1,1
Uzbekistan,1,1,0,0
"Venezuela, Bolivarian Republic of",2,2,2,2
Vietnam,3,3,0,0
Zambia,1,1,1,1
